student_id,minutes,nbr_days,quiz,exam,q&a,subscribed
258798,0.3,1,0,0,0,0
258800,531.2,29,1,1,0,1
258803,620,19,1,1,1,1
258804,14.2,1,1,0,0,0
258807,1.8,1,0,0,0,0
258809,53.3,3,1,0,0,0
258810,3.2,1,0,0,0,0
258811,41.9,4,1,0,0,0
258812,2.2,1,0,0,0,0
258813,2.1,1,0,0,0,0
258814,8.8,2,0,0,0,0
258815,29,1,0,1,0,0
258816,0.8,1,0,0,0,0
258817,0.4,1,0,0,0,0
258818,1392.5,77,1,1,1,1
258819,6.6,1,1,0,0,0
258822,382.7,15,1,1,1,1
258824,1.3,1,0,0,0,0
258826,0.3,1,0,0,0,0
258827,0.3,1,0,0,0,0
258828,0.4,1,0,0,0,0
258829,12.5,1,0,0,0,0
258830,0.9,1,0,0,0,0
258831,0.1,1,0,0,0,0
258832,298.7,12,1,1,0,1
258833,1.3,1,0,0,0,0
258834,21.9,1,1,0,0,0
258837,35.7,3,1,0,0,0
258840,42.1,2,1,0,0,0
258841,0.6,2,0,0,0,0
258845,1556.2,23,1,1,0,0
258846,6.9,1,0,0,0,0
258848,0.1,1,0,0,0,0
258849,12,1,1,0,0,0
258851,6.6,1,1,0,0,0
258852,0.1,1,0,0,0,0
258855,0.2,1,0,0,0,0
258857,0.8,1,1,0,0,0
258860,12.2,1,1,0,0,0
258861,21.6,2,1,0,0,0
258862,639.5,21,1,1,0,1
258865,318.5,14,1,1,0,1
258869,1.2,1,0,0,0,0
258870,4.7,3,0,0,0,0
258871,2.2,1,0,0,0,0
258872,63.8,1,1,1,0,0
258876,73.6,5,1,0,0,0
258878,133.7,2,1,1,0,1
258879,1.2,1,0,0,0,0
258880,73.2,3,1,0,0,0
258881,1.9,1,1,0,0,0
258882,0.5,1,0,0,0,0
258883,30,3,1,1,0,1
258884,0.3,1,0,0,0,0
258885,61.7,2,1,1,0,0
258887,0.1,1,0,0,0,0
258888,0.7,1,0,0,0,0
258890,1.2,1,0,0,0,0
258892,11.2,3,0,0,0,0
258893,25.3,1,1,0,0,0
258894,62,1,1,0,0,0
258895,11.2,1,1,0,0,0
258897,0.1,1,0,0,0,0
258902,18.9,2,1,0,0,0
258903,9.3,1,1,0,0,0
258904,219,6,1,0,0,0
258905,3.6,1,0,0,0,0
258906,250.4,9,1,1,0,0
258907,12.3,1,1,0,0,0
258908,558.8,10,1,1,0,1
258910,6.6,1,1,0,0,0
258912,15.5,3,1,0,0,0
258913,1463.3,41,1,1,0,1
258914,2.8,1,0,0,0,0
258915,40.6,3,1,0,0,0
258916,406.5,9,1,1,0,1
258917,6.6,1,1,0,0,0
258920,65.3,1,1,0,0,0
258922,220.9,15,1,1,0,1
258924,363.5,9,1,0,0,0
258925,6.7,1,0,0,0,0
258927,5.7,2,0,0,0,0
258929,43.8,2,1,1,0,0
258930,190.6,13,1,1,0,1
258933,5.8,2,0,0,0,0
258936,25.5,2,0,0,0,0
258939,10.8,1,0,0,0,0
258940,11.1,2,0,0,0,0
258947,0.1,1,0,0,0,0
258951,90.6,7,1,1,0,0
258954,3.4,1,0,0,0,0
258955,460.2,13,1,1,0,1
258956,716.9,17,1,1,0,1
258957,3.6,1,0,0,0,0
258959,0.1,1,0,0,0,0
258960,3.4,1,0,0,0,0
258962,0.1,1,0,0,0,0
258965,1.5,1,0,0,0,0
258967,2.8,1,0,0,0,0
258969,5.2,1,0,0,0,0
258970,33.9,1,1,0,0,0
258971,336.2,20,1,1,0,1
258973,20.3,1,0,0,0,0
258974,20.9,1,1,0,0,0
258979,1.5,2,0,0,0,0
258980,338.7,11,1,1,0,1
258982,0.1,1,0,0,0,0
258984,434.7,19,1,1,0,1
258987,0.3,1,0,0,0,0
258989,0.3,1,0,0,0,0
258991,5.6,1,0,0,0,0
258993,0.3,1,0,0,0,0
258994,95.1,3,1,0,0,0
258996,39.2,3,1,0,0,0
258997,8.4,1,1,0,0,0
258998,0.3,1,0,0,0,0
258999,0.5,1,0,0,0,0
259000,57.3,3,1,0,0,0
259001,7.9,2,0,0,0,0
259002,52.3,3,1,0,0,0
259005,2.6,4,0,0,0,0
259008,1.1,1,0,0,0,0
259011,1937.3,51,1,1,0,0
259012,61.8,3,0,1,0,0
259014,2.4,1,0,0,0,0
259015,149.5,6,1,0,0,0
259017,1.1,1,0,0,0,0
259018,0.7,1,0,0,0,0
259019,220.2,13,1,1,0,0
259020,5.8,1,1,0,0,0
259022,1.2,1,0,0,0,0
259024,27,2,1,0,0,0
259025,2.3,1,1,0,0,0
259026,586.4,29,1,1,0,1
259028,178.8,7,1,0,0,1
259029,10.4,1,1,0,0,0
259032,30.7,1,0,0,0,0
259033,3.3,1,0,0,0,0
259034,34.3,4,1,0,0,0
259035,1.1,1,0,0,0,0
259036,6.5,1,0,0,0,0
259039,402.2,14,1,1,0,1
259040,0.1,1,0,0,0,0
259041,0.2,1,0,0,0,0
259042,194.6,5,1,1,0,0
259043,11,2,1,1,0,0
259045,2.2,1,0,0,0,0
259046,141.2,1,0,1,0,0
259047,27.2,2,1,0,0,0
259048,0.6,1,0,0,0,0
259051,0.4,1,0,0,0,0
259054,69.5,5,1,0,0,1
259055,2,1,0,0,0,0
259056,0.5,1,0,0,0,0
259057,8.4,1,1,0,0,0
259058,1.2,1,0,0,0,0
259059,4.3,1,0,0,0,0
259060,30.2,3,1,0,0,0
259062,9.5,1,1,0,0,0
259063,4.7,1,0,0,0,0
259065,0.4,1,0,0,0,0
259067,59.8,1,1,1,0,0
259068,46.6,2,1,0,0,0
259069,1,1,1,0,0,0
259070,715.1,19,1,0,0,1
259071,53.6,2,1,0,0,0
259072,1.8,1,0,0,0,0
259077,10.2,1,0,0,0,0
259078,0.9,1,0,0,0,0
259079,0.2,1,0,0,0,0
259080,156.4,3,1,1,0,0
259084,17,2,0,0,0,0
259085,0.9,1,0,0,0,0
259086,5.3,1,0,0,0,0
259088,86.5,5,1,1,0,0
259090,10,1,1,0,0,0
259093,99.1,2,0,1,0,0
259095,0.1,1,0,0,0,0
259097,12.2,1,1,0,0,0
259098,20.1,2,1,0,0,0
259099,1.1,1,0,0,0,0
259101,1.9,2,0,0,0,0
259102,0.2,1,0,0,0,0
259103,13.7,1,0,0,0,0
259104,0.7,1,0,0,0,0
259105,128,7,1,1,0,0
259106,2862.2,75,1,1,0,1
259108,28.1,4,1,0,0,0
259110,68.6,3,1,1,0,0
259113,0.4,1,1,0,0,0
259114,2,1,0,0,0,0
259115,0.7,1,0,0,0,0
259116,37.9,1,1,0,0,0
259118,98.1,4,1,1,0,0
259121,60,2,1,1,0,0
259123,66,3,1,0,0,0
259125,5.6,1,1,0,0,0
259126,4.9,1,0,0,0,0
259127,2.1,1,0,0,0,0
259132,5.9,3,0,0,0,0
259133,2.4,1,0,0,0,0
259134,13.6,1,1,0,0,0
259137,6,1,0,0,0,0
259138,12.6,1,0,0,0,0
259143,24.2,2,1,0,0,0
259144,3,1,0,0,0,0
259145,0.3,1,0,0,0,0
259146,3.3,1,0,0,0,0
259149,38.2,1,1,0,0,0
259150,0.2,1,0,0,0,0
259152,10.7,2,1,0,0,0
